Paper-ID,Title,url,Year,Venue,Authors,Type of Data,Type of Problem,Type of Model to be Explained,Type of Task,Type of Explanation,Method used to explain,Should the paper be included?,Should the paper be included with filter?
cvpr/FukuiHYF19,Attention Branch Network - Learning of Attention Mechanism for Visual Explanation.,http://openaccess.thecvf.com/content_CVPR_2019/html/Fukui_Attention_Branch_Network_Learning_of_Attention_Mechanism_for_Visual_Explanation_CVPR_2019_paper.html,2019,CVPR,"Hiroshi Fukui, Tsubasa Hirakawa, Takayoshi Yamashita, Hironobu Fujiyoshi",Images,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Interpretability built into the predictive model,Yes,Yes
cvpr/KanehiraH19,Learning to Explain With Complemental Examples.,http://openaccess.thecvf.com/content_CVPR_2019/html/Kanehira_Learning_to_Explain_With_Complemental_Examples_CVPR_2019_paper.html,2019,CVPR,"Atsushi Kanehira, Tatsuya Harada",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Prototypes, Text",Post-hoc explanation method,Yes,Yes
cvpr/KanehiraTIH19,Multimodal Explanations by Predicting Counterfactuality in Videos.,http://openaccess.thecvf.com/content_CVPR_2019/html/Kanehira_Multimodal_Explanations_by_Predicting_Counterfactuality_in_Videos_CVPR_2019_paper.html,2019,CVPR,"Atsushi Kanehira, Kentaro Takemoto, Sho Inayoshi, Tatsuya Harada",Video,Outcome Explanation,(Deep) Neural Network,Classification,"Localization, Text",Post-hoc explanation method,Yes,Yes
cvpr/PopeKRMH19,Explainability Methods for Graph Convolutional Neural Networks.,http://openaccess.thecvf.com/content_CVPR_2019/html/Pope_Explainability_Methods_for_Graph_Convolutional_Neural_Networks_CVPR_2019_paper.html,2019,CVPR,"Phillip E. Pope, Soheil Kolouri, Mohammad Rostami, Charles E. Martin, Heiko Hoffmann",Graph data,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Post-hoc explanation method,Yes,Yes
cvpr/ShiZL19,Explainable and Explicit Visual Reasoning Over Scene Graphs.,http://openaccess.thecvf.com/content_CVPR_2019/html/Shi_Explainable_and_Explicit_Visual_Reasoning_Over_Scene_Graphs_CVPR_2019_paper.html,2019,CVPR,"Jiaxin Shi, Hanwang Zhang, Juanzi Li","Images, Graph data",Outcome Explanation,(Deep) Neural Network,Question Answering,Localization,Interpretability built into the predictive model,Yes,Yes
cvpr/ZengLSSYCU19,End-To-End Interpretable Neural Motion Planner.,http://openaccess.thecvf.com/content_CVPR_2019/html/Zeng_End-To-End_Interpretable_Neural_Motion_Planner_CVPR_2019_paper.html,2019,CVPR,"Wenyuan Zeng, Wenjie Luo, Simon Suo, Abbas Sadat, Bin Yang 0021, Sergio Casas 0002, Raquel Urtasun","Time series, Other",Outcome Explanation,(Deep) Neural Network,Policy learning,Localization,Post-hoc explanation method,Yes,Yes
cvpr/ZhangYMW19,Interpreting CNNs via Decision Trees.,http://openaccess.thecvf.com/content_CVPR_2019/html/Zhang_Interpreting_CNNs_via_Decision_Trees_CVPR_2019_paper.html,2019,CVPR,"Quanshi Zhang, Yu Yang, Haotian Ma, Ying Nian Wu",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Decision Tree, Heatmap, Prototypes, Feature Importance",Post-hoc explanation method,Yes,Yes
iccv/ChenCHRZ19,Explaining Neural Networks Semantically and Quantitatively.,https://doi.org/10.1109/ICCV.2019.00928,2019,ICCV,"Runjin Chen, Hao Chen, Ge Huang, Jie Ren, Quanshi Zhang",Images,Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Post-hoc explanation method,Yes,Yes
iccv/ManhardtA0BBNT19,Explaining the Ambiguity of Object Detection and 6D Pose From Visual Data.,https://doi.org/10.1109/ICCV.2019.00694,2019,ICCV,"Fabian Manhardt, Diego Martín Arroyo, Christian Rupprecht 0001, Benjamin Busam, Tolga Birdal, Nassir Navab, Federico Tombari",Images,Outcome Explanation,(Deep) Neural Network,Other,Other,Interpretability built into the predictive model,Yes,Yes
iccv/MicheliniLLJ19,A Tour of Convolutional Networks Guided by Linear Interpreters.,https://doi.org/10.1109/ICCV.2019.00485,2019,ICCV,"Pablo Navarrete Michelini, Hanwen Liu, Yunhua Lu, Xingqun Jiang",Images,Outcome Explanation,(Deep) Neural Network,"Classification, Generation","Heatmap, Representation Synthesis",Post-hoc explanation method,Yes,Yes
iccv/PatroLPN19,U-CAM - Visual Explanation Using Uncertainty Based Class Activation Maps.,https://doi.org/10.1109/ICCV.2019.00754,2019,ICCV,"Badri N. Patro, Mayank Lunayach, Shivansh Patel, Vinay Namboodiri","Images, Text",Outcome Explanation,(Deep) Neural Network,"Classification, Question Answering",Heatmap,Post-hoc explanation method,Yes,Yes
iccv/SelvarajuLSJGHB19,Taking a HINT - Leveraging Explanations to Make Vision and Language Models More Grounded.,https://doi.org/10.1109/ICCV.2019.00268,2019,ICCV,"Ramprasaath Ramasamy Selvaraju, Stefan Lee, Yilin Shen, Hongxia Jin, Shalini Ghosh, Larry P. Heck, Dhruv Batra, Devi Parikh","Images, Text",Outcome Explanation,(Deep) Neural Network,"Question Answering, Generation",Heatmap,Post-hoc explanation method,Yes,Yes
iccv/SubramanyaPP19,Fooling Network Interpretation in Image Classification.,https://doi.org/10.1109/ICCV.2019.00211,2019,ICCV,"Akshayvarun Subramanya, Vipin Pillai, Hamed Pirsiavash",Images,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Post-hoc explanation method,Yes,Yes
iccv/SunRS19,Adaptive Activation Thresholding - Dynamic Routing Type Behavior for Interpretability in Convolutional Neural Networks.,https://doi.org/10.1109/ICCV.2019.00504,2019,ICCV,"Yiyou Sun, Sathya N. Ravi, Vikas Singh",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,"Heatmap, Prototypes","Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
iccv/WuS19,Towards Interpretable Object Detection by Unfolding Latent Structures.,https://doi.org/10.1109/ICCV.2019.00613,2019,ICCV,"Tianfu Wu 0001, Xi Song",Images,Outcome Explanation,(Deep) Neural Network,Classification,Localization,Interpretability built into the predictive model,Yes,Yes
iccv/YinTLS019,Towards Interpretable Face Recognition.,https://doi.org/10.1109/ICCV.2019.00944,2019,ICCV,"Bangjie Yin, Luan Tran, Haoxiang Li, Xiaohui Shen, Xiaoming Liu 0002",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Heatmap, Disentanglement",Interpretability built into the predictive model,Yes,Yes
icdm/AssafGBS19,MTEX-CNN - Multivariate Time Series EXplanations for Predictions with Convolutional Neural Networks.,https://doi.org/10.1109/ICDM.2019.00106,2019,ICDM,"Roy Assaf, Ioana Giurgiu, Frank Bagehorn, Anika Schumann",Time series,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,Post-hoc explanation method,Yes,Yes
icdm/ChenL0X19,Scalable Explanation of Inferences on Large Graphs.,https://doi.org/10.1109/ICDM.2019.00111,2019,ICDM,"Chao Chen, Yifei Liu, Xi Zhang 0008, Sihong Xie",Graph data,Outcome Explanation,(Deep) Neural Network,Classification,Decision Tree,Post-hoc explanation method,Yes,Yes
icdm/HamdiA19,Interpretable Feature Learning of Graphs using Tensor Decomposition.,https://doi.org/10.1109/ICDM.2019.00037,2019,ICDM,"Shah Muhammad Hamdi, Rafal A. Angryk",Graph data,Model Inspection,(Deep) Neural Network,Classification,"Disentanglement, Heatmap",Post-hoc explanation method,Yes,Yes
icdm/YooS19,EDiT - Interpreting Ensemble Models via Compact Soft Decision Trees.,https://doi.org/10.1109/ICDM.2019.00187,2019,ICDM,"Jaemin Yoo, Lee Sael",Tabular / structured,Transparent Box Design,Tree Ensemble,Classification,Decision Tree,Interpretability built into the predictive model,Yes,Yes
icdm/ZhangQLYWZ19,KnowRisk - An Interpretable Knowledge-Guided Model for Disease Risk Prediction.,https://doi.org/10.1109/ICDM.2019.00196,2019,ICDM,"Xianli Zhang, Buyue Qian, Yang Li, Changchang Yin, Xudong Wang, Qinghua Zheng","Tabular / structured, Graph data",Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Interpretability built into the predictive model,Yes,Yes
icdm/ZhouSC19,A Model-Agnostic Approach for Explaining the Predictions on Clustered Data.,https://doi.org/10.1109/ICDM.2019.00202,2019,ICDM,"Zihan Zhou 0003, Mingxuan Sun, Jianhua Chen 0003","User-item matrix, Other",Model Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic, Other","Classification, Regression",White-box model,Post-hoc explanation method,Yes,Yes
iclr/ChangCGD19,Explaining Image Classifiers by Counterfactual Generation.,https://openreview.net/forum?id=B1MXz20cYQ,2019,ICLR,"Chun-Hao Chang, Elliot Creager, Anna Goldenberg, David Duvenaud",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Heatmap, Prototypes",Post-hoc explanation method,Yes,Yes
iclr/ChenSWJ19,L-Shapley and C-Shapley - Efficient Model Interpretation for Structured Data.,https://openreview.net/forum?id=S1E3Ko09F7,2019,ICLR,"Jianbo Chen, Le Song, Martin J. Wainwright, Michael I. Jordan","Images, Text",Outcome Explanation,"(Deep) Neural Network, Any (for a specific task); model-agnostic",Classification,"Feature Importance, Localization",Post-hoc explanation method,Yes,Yes
iclr/FortuinHLSR19,SOM-VAE - Interpretable Discrete Representation Learning on Time Series.,https://openreview.net/forum?id=rygjcsR9Y7,2019,ICLR,"Vincent Fortuin, Matthias Hüser, Francesco Locatello, Heiko Strathmann, Gunnar Rätsch","Images, Time series",Model Inspection,(Deep) Neural Network,"Representation learning, Clustering","Representation Visualization, Representation Synthesis",Interpretability built into the predictive model,Yes,Yes
iclr/SinghMY19,Hierarchical interpretations for neural network predictions.,https://openreview.net/forum?id=SkEqro0ctQ,2019,ICLR,"Chandan Singh, W. James Murdoch, Bin Yu","Images, Text",Outcome Explanation,(Deep) Neural Network,Classification,"Feature Importance, Graph",Post-hoc explanation method,Yes,Yes
iclr/ZhengPBH19,Revealing interpretable object representations from human behavior.,https://openreview.net/forum?id=ryxSrhC9KX,2019,ICLR,"Charles Y. Zheng, Francisco Pereira, Chris I. Baker, Martin N. Hebart",Images,Outcome Explanation,Any (for a specific task); model-agnostic,Representation learning,"Disentanglement, Feature Importance",Interpretability built into the predictive model,Yes,Yes
icml/0002LA19,Exploring interpretable LSTM neural networks over multi-variable data.,http://proceedings.mlr.press/v97/guo19b.html,2019,ICML,"Tian Guo 0002, Tao Lin, Nino Antulov-Fantulin",Time series,Model Inspection,(Deep) Neural Network,Regression,"Feature Importance, Heatmap",Interpretability built into the predictive model,Yes,Yes
icml/AnconaOG19,Explaining Deep Neural Networks with a Polynomial Time Algorithm for Shapley Value Approximation.,http://proceedings.mlr.press/v97/ancona19a.html,2019,ICML,"Marco Ancona, Cengiz Öztireli, Markus H. Gross","Tabular / structured, Images, Any",Outcome Explanation,(Deep) Neural Network,"Classification, Regression",Feature Importance,Post-hoc explanation method,Yes,Yes
icml/DunckerBBS19,Learning interpretable continuous-time models of latent stochastic dynamical systems.,http://proceedings.mlr.press/v97/duncker19a.html,2019,ICML,"Lea Duncker, Gergo Bohner, Julien Boussard, Maneesh Sahani",Time series,Model Inspection,Bayesian or Hierarchical Network,Regression,"Representation Visualization, Feature plot",Interpretability built into the predictive model,Yes,Yes
icml/GoyalWEBPL19,Counterfactual Visual Explanations.,http://proceedings.mlr.press/v97/goyal19a.html,2019,ICML,"Yash Goyal, Ziyan Wu, Jan Ernst, Dhruv Batra, Devi Parikh, Stefan Lee",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Localization, Prototypes, Representation Synthesis",Post-hoc explanation method,Yes,Yes
icml/SinglaWFF19,Understanding Impacts of High-Order Loss Approximations and Features in Deep Learning Interpretation.,http://proceedings.mlr.press/v97/singla19a.html,2019,ICML,"Sahil Singla 0002, Eric Wallace, Shi Feng, Soheil Feizi",Images,Outcome Explanation,(Deep) Neural Network,Classification,Heatmap,"Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
icml/VedantamDLRBP19,Probabilistic Neural Symbolic Models for Interpretable Visual Question Answering.,http://proceedings.mlr.press/v97/vedantam19a.html,2019,ICML,"Ramakrishna Vedantam, Karan Desai, Stefan Lee, Marcus Rohrbach, Dhruv Batra, Devi Parikh","Images, Text",Outcome Explanation,(Deep) Neural Network,Question Answering,Decision Rules,"Interpretability built into the predictive model, Supervised explanation training",Yes,Yes
icml/WangZB19,Bias Also Matters - Bias Attribution for Deep Neural Network Explanation.,http://proceedings.mlr.press/v97/wang19p.html,2019,ICML,"Shengjie Wang, Tianyi Zhou, Jeff A. Bilmes",Images,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,Heatmap,Post-hoc explanation method,Yes,Yes
ijcai/ChenW0WBWC19,Co-Attentive Multi-Task Learning for Explainable Recommendation.,https://doi.org/10.24963/ijcai.2019/296,2019,IJCAI,"Zhongxia Chen, Xiting Wang, Xing Xie 0001, Tong Wu, Guoqing Bu, Yining Wang, Enhong Chen","Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,Text,Supervised explanation training,Yes,Yes
ijcai/FuscoVVWS19,RecoNet - An Interpretable Neural Architecture for Recommender Systems.,https://doi.org/10.24963/ijcai.2019/325,2019,IJCAI,"Francesco Fusco, Michalis Vlachos, Vasileios Vasileiadis, Kathrin Wardatzky, Johannes Schneider",User-item matrix,Outcome Explanation,(Deep) Neural Network,Recommendation,Feature Importance,"Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
ijcai/HouWCLZL19,Explainable Fashion Recommendation - A Semantic Attribute Region Guided Approach.,https://doi.org/10.24963/ijcai.2019/650,2019,IJCAI,"Min Hou, Le Wu, Enhong Chen, Zhi Li, Vincent W. Zheng, Qi Liu 0003",Images,Outcome Explanation,(Deep) Neural Network,"Classification, Recommendation","Feature Importance, Heatmap, Localization, Prototypes, Text",Interpretability built into the predictive model,Yes,Yes
ijcai/KennyK19,Twin-Systems to Explain Artificial Neural Networks using Case-Based Reasoning - Comparative Tests of Feature-Weighting Methods in ANN-CBR Twins for XAI.,https://doi.org/10.24963/ijcai.2019/376,2019,IJCAI,"Eoin M. Kenny, Mark T. Keane","Tabular / structured, Images, Any","Model Explanation, Outcome Explanation",(Deep) Neural Network,"Classification, Regression",Prototypes,Post-hoc explanation method,Yes,Yes
ijcai/LiYYJ19,Learning Interpretable Deep State Space Model for Probabilistic Time Series Forecasting.,https://doi.org/10.24963/ijcai.2019/402,2019,IJCAI,"Longyuan Li, Junchi Yan, Xiaokang Yang, Yaohui Jin",Time series,Model Inspection,(Deep) Neural Network,Regression,Feature Importance,Interpretability built into the predictive model,Yes,Yes
ijcai/ZhangR19,Learning Interpretable Relational Structures of Hinge-loss Markov Random Fields.,https://doi.org/10.24963/ijcai.2019/838,2019,IJCAI,"Yue Zhang, Arti Ramesh",Text,Transparent Box Design,Other,"Policy learning, Classification",Decision Rules,Interpretability built into the predictive model,Yes,Yes
kdd/ChengSHZ19,Incorporating Interpretability into Latent Factor Models via Fast Influence Analysis.,https://doi.org/10.1145/3292500.3330857,2019,KDD,"Weiyu Cheng, Yanyan Shen, Linpeng Huang, Yanmin Zhu",User-item matrix,Outcome Explanation,(Deep) Neural Network,Classification,Feature Importance,Post-hoc explanation method,Yes,Yes
kdd/Jia0RLH19,Improving the Quality of Explanations with Local Embedding Perturbations.,https://doi.org/10.1145/3292500.3330930,2019,KDD,"Yunzhe Jia, James Bailey 0001, Kotagiri Ramamohanarao, Christopher Leckie, Michael E. Houle",Tabular / structured,Outcome Explanation,"Tree Ensemble, Any (for a specific task); model-agnostic",Classification,"Feature Importance, Localization",Post-hoc explanation method,Yes,Yes
kdd/MingXQR19,Interpretable and Steerable Sequence Learning via Prototypes.,https://doi.org/10.1145/3292500.3330908,2019,KDD,"Yao Ming, Panpan Xu, Huamin Qu, Liu Ren","Text, Time series, Other","Outcome Explanation, Transparent Box Design",(Deep) Neural Network,Classification,Prototypes,Interpretability built into the predictive model,Yes,Yes
kdd/ShuCW0L19,dEFEND - Explainable Fake News Detection.,https://doi.org/10.1145/3292500.3330935,2019,KDD,"Kai Shu, Limeng Cui, Suhang Wang, Dongwon Lee 0001, Huan Liu 0001",Text,Outcome Explanation,(Deep) Neural Network,Classification,Text,Interpretability built into the predictive model,Yes,Yes
kdd/Tao0WFYZ019,Log2Intent - Towards Interpretable User Modeling via Recurrent Semantics Memory Unit.,https://doi.org/10.1145/3292500.3330889,2019,KDD,"Zhiqiang Tao, Sheng Li 0001, Zhaowen Wang, Chen Fang, Longqi Yang, Handong Zhao, Yun Fu 0001",Time series,Outcome Explanation,(Deep) Neural Network,Classification,Text,"Interpretability built into the predictive model, Supervised explanation training",Yes,Yes
kdd/YanZDSSK19,"GroupINN - Grouping-based Interpretable Neural Network for Classification of Limited, Noisy Brain Data.",https://doi.org/10.1145/3292500.3330921,2019,KDD,"Yujun Yan, Jiong Zhu, Marlena Duda, Eric Solarz, Chandra Sekhar Sripada, Danai Koutra","Images, Time series",Outcome Explanation,(Deep) Neural Network,Classification,"Graph, Heatmap",Interpretability built into the predictive model,Yes,Yes
kdd/YoshidaTK19,Learning Interpretable Metric between Graphs - Convex Formulation and Computation with Graph Mining.,https://doi.org/10.1145/3292500.3330845,2019,KDD,"Tomoki Yoshida, Ichiro Takeuchi, Masayuki Karasuyama",Graph data,Transparent Box Design,Other,Representation learning,"Feature Importance, Localization, Graph",Interpretability built into the predictive model,Yes,Yes
kdd/ZhangTKLCC19,Axiomatic Interpretability for Multiclass Additive Models.,https://doi.org/10.1145/3292500.3330898,2019,KDD,"Xuezhou Zhang, Sarah Tan, Paul Koch, Yin Lou, Urszula Chajewska, Rich Caruana",Tabular / structured,Model Inspection,Other,Classification,Feature plot,Post-hoc explanation method,Yes,Yes
kdd/ZhaoGS19,Riker - Mining Rich Keyword Representations for Interpretable Product Question Answering.,https://doi.org/10.1145/3292500.3330985,2019,KDD,"Jie Zhao, Ziyu Guan, Huan Sun",Text,Outcome Explanation,(Deep) Neural Network,Question Answering,Feature Importance,Interpretability built into the predictive model,Yes,Yes
nips/ChenLTBRS19,This Looks Like That - Deep Learning for Interpretable Image Recognition.,https://proceedings.neurips.cc/paper/2019/hash/adf7ee2dcf142b0e11888e72b43fcb75-Abstract.html,2019,NeurIPS,"Chaofan Chen, Oscar Li, Daniel Tao, Alina Barnett, Cynthia Rudin, Jonathan Su",Images,Transparent Box Design,(Deep) Neural Network,Classification,Prototypes,Interpretability built into the predictive model,Yes,Yes
nips/GhorbaniWZK19,Towards Automatic Concept-based Explanations.,https://proceedings.neurips.cc/paper/2019/hash/77d2afcb31f6493e350fca61764efb9a-Abstract.html,2019,NeurIPS,"Amirata Ghorbani, James Wexler, James Y. Zou, Been Kim",Images,Model Inspection,(Deep) Neural Network,Classification,"Prototypes, Localization, Feature Importance",Post-hoc explanation method,Yes,Yes
nips/HoyerMKKF19,Grid Saliency for Context Explanations of Semantic Segmentation.,https://proceedings.neurips.cc/paper/2019/hash/6950aa02ae8613af620668146dd11840-Abstract.html,2019,NeurIPS,"Lukas Hoyer, Mauricio Munoz, Prateek Katiyar, Anna Khoreva, Volker Fischer 0003",Images,Outcome Explanation,(Deep) Neural Network,Other,"Heatmap, Localization",Interpretability built into the predictive model,Yes,Yes
nips/KimL19,Learning Dynamics of Attention - Human Prior for Interpretable Machine Reasoning.,https://proceedings.neurips.cc/paper/2019/hash/ae3539867aaeec609a4260c6feb725f4-Abstract.html,2019,NeurIPS,"Wonjae Kim, Yoonho Lee","Images, Text, Graph data",Outcome Explanation,Any (for a specific task); model-agnostic,Question Answering,Heatmap,Interpretability built into the predictive model,Yes,Yes
nips/WangN19,Deliberative Explanations - visualizing network insecurities.,https://proceedings.neurips.cc/paper/2019/hash/68053af2923e00204c3ca7c6a3150cf7-Abstract.html,2019,NeurIPS,"Pei Wang, Nuno Vasconcelos",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Localization, Prototypes",Interpretability built into the predictive model,Yes,Yes
nips/YingBYZL19,GNNExplainer - Generating Explanations for Graph Neural Networks.,https://proceedings.neurips.cc/paper/2019/hash/d80b7040b773199015de6d3b4293c8ff-Abstract.html,2019,NeurIPS,"Zhitao Ying, Dylan Bourgeois, Jiaxuan You, Marinka Zitnik, Jure Leskovec",Graph data,"Model Inspection, Outcome Explanation",(Deep) Neural Network,Classification,"Feature Importance, Graph",Post-hoc explanation method,Yes,Yes
sigir/BalogRA19,"Transparent, Scrutable and Explainable User Models for Personalized Recommendation.",https://doi.org/10.1145/3331184.3331211,2019,SIGIR,"Krisztian Balog, Filip Radlinski, Shushan Arakelyan",User-item matrix,Transparent Box Design,Other,Recommendation,Text,Interpretability built into the predictive model,Yes,Yes
sigir/HanSYWN19,Prototype-guided Attribute-wise Interpretable Scheme for Clothing Matching.,https://doi.org/10.1145/3331184.3331245,2019,SIGIR,"Xianjing Han, Xuemeng Song, Jianhua Yin, Yinglong Wang 0001, Liqiang Nie","Images, Text, Images",Outcome Explanation,(Deep) Neural Network,Classification,"Prototypes, Text",Interpretability built into the predictive model,Yes,Yes
sigir/LiQPQDW19,A Capsule Network for Recommendation and Explaining What You Like and Dislike.,https://doi.org/10.1145/3331184.3331216,2019,SIGIR,"Chenliang Li, Cong Quan, Li Peng, Yunwei Qi, Yuming Deng, Libing Wu","Text, User-item matrix",Outcome Explanation,(Deep) Neural Network,Recommendation,"Heatmap, Localization",Interpretability built into the predictive model,Yes,Yes
sigir/TaoJWW19,The FacT - Taming Latent Factor Models for Explainability with Factorization Trees.,https://doi.org/10.1145/3331184.3331244,2019,SIGIR,"Yiyi Tao, Yiling Jia, Nan Wang, Hongning Wang",User-item matrix,Transparent Box Design,Other,Recommendation,"Decision Tree, Text",Interpretability built into the predictive model,Yes,Yes
sigir/XianFMMZ19,Reinforcement Knowledge Graph Reasoning for Explainable Recommendation.,https://doi.org/10.1145/3331184.3331203,2019,SIGIR,"Yikun Xian, Zuohui Fu, S. Muthukrishnan, Gerard de Melo, Yongfeng Zhang",User-item matrix,Outcome Explanation,Other,"Policy learning, Recommendation",Graph,Interpretability built into the predictive model,Yes,Yes
sigir/Yang0WMF0C19,Interpretable Fashion Matching with Rich Attributes.,https://doi.org/10.1145/3331184.3331242,2019,SIGIR,"Xun Yang, Xiangnan He 0001, Xiang Wang 0010, Yunshan Ma, Fuli Feng, Meng Wang 0001, Tat-Seng Chua",Images,Outcome Explanation,(Deep) Neural Network,Classification,"Decision Rules, Decision Tree, Prototypes",Interpretability built into the predictive model,Yes,Yes
www/MaZCJWLMR19,Jointly Learning Explainable Rules for Recommendation with Knowledge Graph.,https://doi.org/10.1145/3308558.3313607,2019,WWW,"Weizhi Ma, Min Zhang 0006, Yue Cao, Woojeong Jin, Chenyang Wang, Yiqun Liu 0001, Shaoping Ma, Xiang Ren 0001","Graph data, User-item matrix",Transparent Box Design,Other,Recommendation,Decision Rules,Interpretability built into the predictive model,Yes,Yes
aaai/BiskSCM18,Learning Interpretable Spatial Operations in a Rich 3D Blocks World.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17410,2018,AAAI,"Yonatan Bisk, Kevin J. Shih, Yejin Choi, Daniel Marcu",Other,Model Inspection,(Deep) Neural Network,Policy learning,Other,Post-hoc explanation method,Yes,Yes
aaai/HsuM0S18,An Interpretable Generative Adversarial Approach to Classification of Latent Entity Relations in Unstructured Sentences.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16629,2018,AAAI,"Shiou Tian Hsu, Changsung Moon, Paul Jones 0001, Nagiza F. Samatova",Text,Model Inspection,(Deep) Neural Network,Classification,Localization,Interpretability built into the predictive model,Yes,Yes
aaai/LiLCR18,Deep Learning for Case-Based Reasoning Through Prototypes - A Neural Network That Explains Its Predictions.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17082,2018,AAAI,"Oscar Li, Hao Liu 0015, Chaofan Chen, Cynthia Rudin",Images,Outcome Explanation,(Deep) Neural Network,Classification,Prototypes,Interpretability built into the predictive model,Yes,Yes
aaai/NguyenKLW18,An Interpretable Joint Graphical Model for Fact-Checking From Crowds.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16673,2018,AAAI,"An T. Nguyen 0001, Aditya Kharosekar, Matthew Lease, Byron C. Wallace",Text,Outcome Explanation,Logistic Regression,Classification,Other,Interpretability built into the predictive model,Yes,Yes
aaai/PalangiSHD18,Question-Answering with Grammatically-Interpretable Representations.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17090,2018,AAAI,"Hamid Palangi, Paul Smolensky, Xiaodong He 0001, Li Deng 0001",Text,"Model Inspection, Outcome Explanation",(Deep) Neural Network,"Classification, Question Answering",Disentanglement,Interpretability built into the predictive model,Yes,Yes
aaai/Ribeiro0G18,Anchors - High-Precision Model-Agnostic Explanations.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16982,2018,AAAI,"Marco Túlio Ribeiro, Sameer Singh 0001, Carlos Guestrin","Tabular / structured, Images, Text","Model Inspection, Outcome Explanation","(Deep) Neural Network, Tree Ensemble, Any (for a specific task); model-agnostic, Logistic Regression","Classification, Question Answering","Decision Rules, Localization",Post-hoc explanation method,Yes,Yes
aaai/RossD18,Improving the Adversarial Robustness and Interpretability of Deep Neural Networks by Regularizing Their Input Gradients.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17337,2018,AAAI,"Andrew Slavin Ross, Finale Doshi-Velez",Images,Outcome Explanation,(Deep) Neural Network,Classification,Representation Synthesis,"Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
aaai/RustamovK18,Interpretable Graph-Based Semi-Supervised Learning via Flows.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16396,2018,AAAI,"Raif M. Rustamov, James T. Klosowski","Tabular / structured, Images, Text",Model Inspection,Other,"Classification, Regression",Graph,Interpretability built into the predictive model,Yes,Yes
aaai/SubramanianPJBH18,SPINE - SParse Interpretable Neural Embeddings.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/17433,2018,AAAI,"Anant Subramanian, Danish Pruthi, Harsh Jhamtani, Taylor Berg-Kirkpatrick, Eduard H. Hovy",Text,Model Inspection,"(Deep) Neural Network, Tree Ensemble, Support Vector Machine, Logistic Regression, Any (for a specific task); model-agnostic","Classification, Regression, Representation learning",Disentanglement,Interpretability built into the predictive model,Yes,Yes
aaai/WuHPZ0D18,Beyond Sparsity - Tree Regularization of Deep Models for Interpretability.,https://www.aaai.org/ocs/index.php/AAAI/AAAI18/paper/view/16285,2018,AAAI,"Mike Wu, Michael C. Hughes, Sonali Parbhoo, Maurizio Zazzi, Volker Roth 0001, Finale Doshi-Velez","Tabular / structured, Time series",Model Explanation,(Deep) Neural Network,Classification,Decision Tree,"Post-hoc explanation method, Interpretability built into the predictive model",Yes,Yes
acl/EskenaziLZ18,Unsupervised Discrete Sentence Representation Learning for Interpretable Neural Dialog Generation.,https://www.aclweb.org/anthology/P18-1101/,2018,ACL,"Tiancheng Zhao, Kyusong Lee, Maxine Eskénazi",Text,Outcome Explanation,(Deep) Neural Network,"Generation, Representation learning",Disentanglement,Interpretability built into the predictive model,Yes,Yes
acl/InuiTT18,Interpretable and Compositional Relation Learning by Joint Training with an Autoencoder.,https://www.aclweb.org/anthology/P18-1200/,2018,ACL,"Ryo Takahashi, Ran Tian, Kentaro Inui",Graph data,Model Inspection,(Deep) Neural Network,"Representation learning, Other","Disentanglement, Representation Visualization",Interpretability built into the predictive model,Yes,Yes
